EXCHANGE,TOKEN,SYMBOL,PRODUCT,ORDER_TYPE,TRANSACTION_TYPE,TRADED_QUANTITY,EXCHANGE_ORDER_ID,ORDER_ID,EXCHANGE_TIME,TIME_IN_MICRO,TRADED_PRICE,TRADE_ID
NSE_EQ,14732,DLF,I,L,B,1,1000000001489738,180925000042386,25-Sep-2018 09:42:15,1537854423309534,180.1,1888892
NSE_EQ,1333,HDFCBANK,I,L,B,1,1100000000133984,180925000006000,25-Sep-2018 09:15:26,1537847327317162,1918.9,25088551
NSE_EQ,2031,M&M,I,L,B,4,1200000000203138,180925000009632,25-Sep-2018 09:16:58,1537848576648213,869.4,50347417
NSE_EQ,14732,DLF,I,L,B,1,1000000009141174,180925000200573,25-Sep-2018 13:38:49,1537864349233967,172.9,3781358
NSE_EQ,317,BAJFINANCE,I,L,S,1,1000000000199473,180925000008304,25-Sep-2018 09:16:21,1537849350810003,2239.8,619053
NSE_EQ,3456,TATAMOTORS,I,L,S,6,1300000001048417,180925000041218,25-Sep-2018 09:41:14,1537849270102078,238.9,75442034
NSE_EQ,2031,M&M,I,L,B,1,1200000000117994,180925000006008,25-Sep-2018 09:15:26,1537847138519819,889,50018107
NSE_EQ,2031,M&M,I,L,S,3,1200000000202898,180925000009618,25-Sep-2018 09:16:58,1537847502892405,886.3,50121636
NSE_EQ,3045,SBIN,I,L,B,1,1300000000112443,180925000005899,25-Sep-2018 09:15:24,1537847240786228,261.9,75048414
NSE_EQ,1023,FEDERALBNK,I,L,B,1,1100000004644481,180925000135235,25-Sep-2018 11:37:13,1537855940435473,71.2,26989644
NSE_EQ,29124,PCJEWELLER,I,L,B,1,1200000000105456,180925000004961,25-Sep-2018 09:15:15,1537847121415202,72.8,50012756
NSE_EQ,11184,IDFCBANK,I,L,B,1,1100000008514699,180925000231280,25-Sep-2018 14:25:33,1537865942110270,37.3,28832907
NSE_EQ,30125,IBULHSGFIN,I,L,B,2,1100000000847111,180925000027283,25-Sep-2018 09:29:32,1537847978187869,924.7,25261730
NSE_EQ,3456,TATAMOTORS,I,L,B,2,1300000001308907,180925000051315,25-Sep-2018 09:51:23,1537858209561901,237.7,76581675
NSE_EQ,11184,IDFCBANK,I,L,S,3,1100000001306376,180925000041193,25-Sep-2018 09:41:14,1537849379425165,37.8,25622879
NSE_EQ,3906,CAPLIPOINT,D,L,S,1,1000000000337232,180925000012353,25-Sep-2018 09:18:27,1537849627388693,433.8,717889
NSE_EQ,30125,IBULHSGFIN,I,L,S,1,1100000007524428,180925000206361,25-Sep-2018 13:47:48,1537863839752038,857.3,28374861
NSE_EQ,11184,IDFCBANK,I,L,S,1,1100000000408700,180925000014370,25-Sep-2018 09:19:45,1537847434067593,38.2,25119178
NSE_EQ,3456,TATAMOTORS,I,L,B,2,1300000004231798,180925000153614,25-Sep-2018 12:20:54,1537862039866328,238.8,77046678
NSE_EQ,30125,IBULHSGFIN,I,L,S,3,1100000000858036,180925000027555,25-Sep-2018 09:29:47,1537851735208482,942.4,26182676
NSE_EQ,3456,TATAMOTORS,I,L,B,2,1300000000113126,180925000005923,25-Sep-2018 09:15:25,1537847268505918,240.1,75046191
NSE_EQ,1023,FEDERALBNK,I,L,B,2,1100000006568290,180925000183440,25-Sep-2018 13:16:05,1537861601159769,70.45,27895812
NSE_EQ,404,BERGEPAINT,I,L,B,1,1000000000130626,180925000005806,25-Sep-2018 09:15:23,1537847204045498,289.7,29406
NSE_EQ,1594,INFY,I,L,B,1,1100000008891704,180925000238623,25-Sep-2018 14:40:16,1537867102145874,729.6,29080038
NSE_EQ,30125,IBULHSGFIN,I,L,B,4,1100000006078324,180925000172372,25-Sep-2018 12:57:08,1537860958685295,873.6,27722574
NSE_EQ,11184,IDFCBANK,I,L,S,1,1100000000295654,180925000011525,25-Sep-2018 09:17:59,1537847353280080,38.2,25097068
NSE_EQ,3456,TATAMOTORS,I,L,S,2,1300000000251956,180925000011496,25-Sep-2018 09:17:58,1537847361560897,241.3,75078003
NSE_EQ,1023,FEDERALBNK,I,L,S,1,1100000004389100,180925000128924,25-Sep-2018 11:28:08,1537855628594940,71.6,26942691
NSE_EQ,2885,RELIANCE,I,L,B,2,1200000000201657,180925000009574,25-Sep-2018 09:16:56,1537858342238116,1225.1,51915000
NSE_EQ,3812,ZEEL,I,L,S,1,1300000000765886,180925000030197,25-Sep-2018 09:32:01,1537850125339814,443.6,75603920
NSE_EQ,1023,FEDERALBNK,I,L,S,3,1100000006604849,180925000184261,25-Sep-2018 13:16:52,1537865058709816,71.1,28635454
NSE_EQ,29124,PCJEWELLER,I,L,S,4,1200000006170941,180925000190377,25-Sep-2018 13:24:46,1537862097277168,69.3,52454111
NSE_EQ,2885,RELIANCE,I,L,B,1,1200000000115716,180925000005897,25-Sep-2018 09:15:24,1537847215155609,1234.5,50028044
NSE_EQ,3812,ZEEL,I,L,B,1,1300000000111067,180925000005810,25-Sep-2018 09:15:23,1537848117955578,441.4,75229183
NSE_EQ,2885,RELIANCE,I,L,S,2,1200000004959064,180925000154251,25-Sep-2018 12:22:23,1537858578322841,1228.2,51944048
NSE_EQ,1023,FEDERALBNK,I,L,B,1,1100000001773347,180925000054565,25-Sep-2018 09:54:51,1537855086420037,71.2,26832908
NSE_EQ,1023,FEDERALBNK,I,L,S,1,1100000000964100,180925000030639,25-Sep-2018 09:32:22,1537849484920674,71.6,25647880
NSE_EQ,1660,ITC,I,L,B,1,1100000000132376,180925000005916,25-Sep-2018 09:15:24,1537847340200985,295.5,25089533
NSE_EQ,1594,INFY,D,L,S,1,1100000000132554,180925000005919,25-Sep-2018 09:15:25,1537855676138383,731.6,26951038
NSE_EQ,11184,IDFCBANK,I,L,S,1,1100000008604515,180925000232992,25-Sep-2018 14:29:13,1537866851185266,37.5,29012253
NSE_EQ,15083,ADANIPORTS,I,L,B,2,1000000005304877,180925000123269,25-Sep-2018 11:19:46,1537862011066339,333,3234698
NSE_EQ,14732,DLF,I,L,S,1,1000000011115980,180925000234767,25-Sep-2018 14:33:14,1537866563332732,170.2,4378825
NSE_EQ,2031,M&M,I,L,S,4,1200000001067012,180925000039215,25-Sep-2018 09:39:42,1537848873801397,870.3,50411436
NSE_EQ,3045,SBIN,I,L,S,1,1300000000226605,180925000010551,25-Sep-2018 09:17:27,1537847257380625,262.3,75052470
NSE_EQ,17069,UJJIVAN,I,L,S,1,1300000000251373,180925000011480,25-Sep-2018 09:17:57,1537852877952018,273.4,76002297
NSE_EQ,14732,DLF,I,L,S,1,1000000009892295,180925000214515,25-Sep-2018 14:02:36,1537865079313161,173.8,4042338
